"","X","all.locus.prob","all.locus.y","names.genes","all.trait","locus.chrm","locus.start","locus.end","locus.name"
"40",40,0.747570633888245,0,"AGGF1","calcium","chr5",75856442,76356443,"L154"
"41",41,0.851471662521362,0,"AHSG","calcium","chr3",186088382,186872851,"L128|L129"
"42",42,0.745669603347778,0,"AKAP1","calcium","chr17",55052265,55552266,"L391"
"43",43,0.161595940589905,0,"AKAP3","calcium","chr12",3738288,4838580,"L299|L300|L301"
"44",44,0.235285401344299,0,"AKT1S1","calcium","chr19",49745340,50614485,"L417|L418|L419"
"45",45,0.348344773054123,0,"AL049557.1","calcium","chr1",111996541,112496542,"L25"
"46",46,0.52039510011673,0,"ALAD","calcium","chr9",116113146,116613147,"L246"
"47",47,0.264858186244965,0,"ALDH16A1","calcium","chr19",49745340,50614485,"L417|L418|L419"
"48",48,0.150278270244598,0,"ALOX12","calcium","chr17",6364859,6961500,"L379|L380"
"49",49,0.157381311058998,0,"AMH","calcium","chr19",1910529,2410530,"L399"
"50",50,0.250566750764847,0,"AMIGO1","calcium","chr1",109564880,110064881,"L24"
"51",51,0.445451885461807,0,"AMZ2","calcium","chr17",66202641,66702642,"L393"
"52",52,0.623301923274994,0,"ANAPC1","calcium","chr2",112013474,112513475,"L78"
"53",53,0.427038431167603,0,"ANAPC15","calcium","chr11",71502160,72002161,"L286"
"54",54,0.634631752967834,0,"ANGPTL5","calcium","chr11",101773505,102273506,"L288"
"55",55,0.262006014585495,0,"ANKRD23","calcium","chr2",95296118,98791875,"L67|L68|L69|L70|L71|L72|L73|L74|L75|L76|L77"
"56",56,0.678120136260986,0,"ANKRD30BL","calcium","chr2",132946452,133446453,"L84"
"57",57,0.220004364848137,0,"ANKRD36","calcium","chr2",95296118,98791875,"L67|L68|L69|L70|L71|L72|L73|L74|L75|L76|L77"
"58",58,0.451876878738403,0,"ANKRD36B","calcium","chr2",95296118,98791875,"L67|L68|L69|L70|L71|L72|L73|L74|L75|L76|L77"
"59",59,0.391782879829407,0,"ANKRD36C","calcium","chr2",95296118,98791875,"L67|L68|L69|L70|L71|L72|L73|L74|L75|L76|L77"
"60",60,0.262006014585495,0,"ANKRD39","calcium","chr2",95296118,98791875,"L67|L68|L69|L70|L71|L72|L73|L74|L75|L76|L77"
"61",61,0.475176066160202,0,"ANKRD46","calcium","chr8",101483229,101983230,"L231"
"62",62,0.610130965709686,0,"ANKRD63","calcium","chr15",40077793,40577794,"L344"
"63",63,0.421323746442795,0,"ANO7","calcium","chr2",242120751,242620752,"L94"
"64",64,0.122873075306416,0,"ANP32E","calcium","chr1",149746474,151190626,"L27|L28|L29|L30"
"65",65,0.774423480033875,0,"ANTXR1","calcium","chr2",69275721,69775722,"L63"
"66",66,0.603957295417786,0,"ANXA2","calcium","chr15",60646331,61146332,"L359"
"67",67,0.208369970321655,0,"ANXA9","calcium","chr1",149746474,151190626,"L27|L28|L29|L30"
"68",68,0.221712365746498,0,"AP2A1","calcium","chr19",49745340,50614485,"L417|L418|L419"
"69",69,0.589318871498108,0,"AP3D1","calcium","chr19",1910529,2410530,"L399"
"70",70,0.636496603488922,0,"AP4E1","calcium","chr15",51008315,51775174,"L357|L358"
"71",71,0.0957744717597961,0,"APH1A","calcium","chr1",149746474,151190626,"L27|L28|L29|L30"
"72",72,0.484661430120468,0,"APOBEC3A","calcium","chr22",38880843,39380844,"L432"
"73",73,0.635160624980927,0,"APOLD1","calcium","chr12",12639289,13139290,"L303"
"74",74,0.428811699151993,0,"ARFGAP3","calcium","chr22",42866277,43366278,"L435"
"75",75,0.417338699102402,0,"ARGFX","calcium","chr3",120144026,121399815,"L108|L109|L110|L111|L112|L113|L114"
"76",76,0.397169381380081,0,"ARHGEF19","calcium","chr1",16260894,16760895,"L2"
"77",77,0.189157709479332,0,"ARHGEF2","calcium","chr1",154928782,155972507,"L31|L32|L33"
"78",78,0.717384994029999,0,"ARID1B","calcium","chr6",156946299,157446300,"L197"
"79",79,0.222331061959267,0,"ARID5A","calcium","chr2",95296118,98791875,"L67|L68|L69|L70|L71|L72|L73|L74|L75|L76|L77"
"80",80,0.257284760475159,0,"ARL6IP4","calcium","chr12",122565885,124397831,"L320|L321|L322|L323|L324|L325|L326|L327"
"81",81,0.173908442258835,0,"ARNT","calcium","chr1",149746474,151190626,"L27|L28|L29|L30"
"82",82,0.606329679489136,0,"ARNTL","calcium","chr11",13255068,13838115,"L274|L275"
"83",83,0.200505271553993,0,"ARRDC1","calcium","chr9",140108556,140608557,"L250"
"84",84,0.50475937128067,0,"ARSG","calcium","chr17",66202641,66702642,"L393"
"85",85,0.654374241828918,0,"AS3MT","calcium","chr10",104501781,105001782,"L269"
"86",86,0.801755845546722,0,"ASAH2B","calcium","chr10",52323772,52823773,"L260"
"87",87,0.634606957435608,0,"ASAP2","calcium","chr2",8952434,9487111,"L46"
"88",88,0.381222009658813,0,"ASCC2","calcium","chr22",30121350,31018778,"L430|L431"
"89",89,0.695711374282837,0,"ASCC3","calcium","chr6",101072202,101572203,"L188"
"90",90,0.342054456472397,0,"ASF1B","calcium","chr19",13922896,14422897,"L405"
"91",91,0.528637588024139,0,"ASH2L","calcium","chr8",37797331,38548648,"L226|L227"
"92",92,0.414342939853668,0,"ASPM","calcium","chr1",196650709,197150710,"L36"
"93",93,0.118482604622841,0,"ASTL","calcium","chr2",95296118,98791875,"L67|L68|L69|L70|L71|L72|L73|L74|L75|L76|L77"
"94",94,0.324141830205917,0,"ATF5","calcium","chr19",49745340,50614485,"L417|L418|L419"
"95",95,0.237259298563004,0,"ATG4B","calcium","chr2",242120751,242620752,"L94"
"96",96,0.775898158550262,0,"ATL1","calcium","chr14",50732983,51232984,"L336"
"97",97,0.554315686225891,0,"ATP1A1","calcium","chr1",116566699,117066700,"L26"
"98",98,0.840672969818115,0,"ATP2B1","calcium","chr12",89916745,90673654,"L311|L312|L313"
"99",99,0.224881336092949,0,"ATP4A","calcium","chr19",35302963,36269523,"L409|L410"
"100",100,0.288966834545135,0,"ATP5MGL","calcium","chr22",42866277,43366278,"L435"
"101",101,0.440943509340286,0,"ATP5PB","calcium","chr1",111996541,112496542,"L25"
"102",102,0.418362855911255,0,"ATP5S","calcium","chr14",50732983,51232984,"L336"
"103",103,0.582170367240906,0,"ATP6V1A","calcium","chr3",112697781,113550184,"L106|L107"
"104",104,0.152747809886932,0,"ATRAID","calcium","chr2",26896032,28693051,"L50|L51|L52|L53|L54|L55"
"105",105,0.284080684185028,0,"ATXN1L","calcium","chr16",71846227,72346228,"L368"
"106",106,0.718413650989532,0,"ATXN3","calcium","chr14",92080413,92580414,"L340"
"107",107,0.278804749250412,0,"ATXN7L2","calcium","chr1",109564880,110064881,"L24"
"108",108,0.213506132364273,0,"B2M","calcium","chr15",44047617,45130784,"L349|L350|L351"
"109",109,0.118556171655655,0,"B3GNT4","calcium","chr12",122565885,124397831,"L320|L321|L322|L323|L324|L325|L326|L327"
"110",110,0.203547641634941,0,"BABAM2","calcium","chr2",26896032,28693051,"L50|L51|L52|L53|L54|L55"
"111",111,0.528637588024139,0,"BAG4","calcium","chr8",37797331,38548648,"L226|L227"
"112",112,0.860299646854401,0,"BANK1","calcium","chr4",102079688,103438710,"L141|L142|L143|L144"
"113",113,0.87950074672699,0,"BBX","calcium","chr3",106936568,107787099,"L104|L105"
"114",114,0.566751956939697,0,"BCAP29","calcium","chr7",106585410,107421491,"L212|L213"
"115",115,0.506756603717804,0,"BCAS1","calcium","chr20",52443155,53038926,"L426"
"116",116,0.341320246458054,0,"BCL2L12","calcium","chr19",49745340,50614485,"L417|L418|L419"
"117",117,0.885215163230896,0,"BCL2L14","calcium","chr12",11955652,12455653,"L302"
"118",118,0.117373608052731,0,"BCL6B","calcium","chr17",6364859,6961500,"L379|L380"
"119",119,0.448562324047089,0,"BCL9L","calcium","chr11",118556220,119416048,"L291|L292|L293"
"120",120,0.849023163318634,0,"BEND3","calcium","chr6",107189652,107689653,"L189"
"121",121,0.298095494508743,0,"BEND5","calcium","chr1",49036183,53037888,"L11|L12|L13|L14|L15|L16|L17|L18|L19|L20"
"122",122,0.654719829559326,0,"BIRC2","calcium","chr11",101773505,102273506,"L288"
"123",123,0.654719829559326,0,"BIRC3","calcium","chr11",101773505,102273506,"L288"
"124",124,0.394763082265854,0,"BMF","calcium","chr15",40077793,40577794,"L344"
"125",125,0.652719259262085,0,"BMI1","calcium","chr10",21588380,22894987,"L255|L256|L257|L258"
"126",126,0.25172820687294,0,"BMP1","calcium","chr8",21514743,22192841,"L222|L223"
"127",127,0.535236179828644,0,"BMP8A","calcium","chr1",39542369,40325895,"L8|L9"
"128",128,0.513363480567932,0,"BMP8B","calcium","chr1",39542369,40325895,"L8|L9"
"129",129,0.163281977176666,0,"BNIPL","calcium","chr1",149746474,151190626,"L27|L28|L29|L30"
"130",130,0.593202650547028,0,"BOC","calcium","chr3",112697781,113550184,"L106|L107"
"131",131,0.663366258144379,0,"BOK","calcium","chr2",242120751,242620752,"L94"
"132",132,0.123062163591385,0,"BOLA1","calcium","chr1",149746474,151190626,"L27|L28|L29|L30"
"133",133,0.723095834255219,0,"BORCS7","calcium","chr10",104501781,105001782,"L269"
"134",134,0.470390796661377,0,"BPNT1","calcium","chr1",219790069,220335454,"L42"
"135",135,0.558793842792511,0,"BSPRY","calcium","chr9",116113146,116613147,"L246"
"136",136,0.862569987773895,0,"BTBD10","calcium","chr11",13255068,13838115,"L274|L275"
"137",137,0.267090886831284,0,"BTBD2","calcium","chr19",1910529,2410530,"L399"
"138",138,0.651804625988007,0,"BTC","calcium","chr4",75692134,76192135,"L139"
"139",139,0.232053503394127,0,"BTF3L4","calcium","chr1",49036183,53037888,"L11|L12|L13|L14|L15|L16|L17|L18|L19|L20"
"140",140,0.518710136413574,0,"BUB1B","calcium","chr15",40077793,40577794,"L344"
"141",141,0.578462779521942,0,"BUB1B-PAK6","calcium","chr15",40077793,40577794,"L344"
"142",142,0.709487795829773,0,"C10orf71","calcium","chr10",50260522,50760523,"L259"
"143",143,0.526008367538452,0,"C11orf45","calcium","chr11",128055925,128985260,"L297|L298"
"144",144,0.286100447177887,0,"C12orf65","calcium","chr12",122565885,124397831,"L320|L321|L322|L323|L324|L325|L326|L327"
"145",145,0.157221674919128,0,"C17orf100","calcium","chr17",6364859,6961500,"L379|L380"
"146",146,0.117373608052731,0,"C17orf49","calcium","chr17",6364859,6961500,"L379|L380"
"147",147,0.68699324131012,0,"C17orf78","calcium","chr17",35608782,36108783,"L384"
"148",148,0.129990726709366,0,"C19orf33","calcium","chr19",37905978,39540958,"L412|L413|L414|L415|L416"
"149",149,0.31612241268158,0,"C19orf57","calcium","chr19",13922896,14422897,"L405"
"150",150,0.329502075910568,0,"C19orf67","calcium","chr19",13922896,14422897,"L405"
"151",151,0.154320642352104,0,"C19orf71","calcium","chr19",2733175,3626043,"L400|L401|L402"
"152",152,0.713974893093109,0,"C1orf115","calcium","chr1",220784934,221284935,"L43"
"153",153,0.399080336093903,0,"C1orf162","calcium","chr1",111996541,112496542,"L25"
"154",154,0.566452980041504,0,"C1orf185","calcium","chr1",49036183,53037888,"L11|L12|L13|L14|L15|L16|L17|L18|L19|L20"
"155",155,0.258274525403976,0,"C1orf194","calcium","chr1",109564880,110064881,"L24"
"156",156,0.466604590415955,0,"C1orf50","calcium","chr1",43186051,43686052,"L10"
"157",157,0.112566657364368,0,"C1orf54","calcium","chr1",149746474,151190626,"L27|L28|L29|L30"
"158",158,0.144299745559692,0,"C1orf56","calcium","chr1",149746474,151190626,"L27|L28|L29|L30"
"159",159,0.289525181055069,0,"C1QTNF5","calcium","chr11",118556220,119416048,"L291|L292|L293"
"160",160,0.35953414440155,0,"C2CD2L","calcium","chr11",118556220,119416048,"L291|L292|L293"
"161",161,0.223859131336212,0,"C2orf73","calcium","chr2",54518661,55018662,"L59"
"162",162,0.746636092662811,0,"C2orf88","calcium","chr2",190740046,191607695,"L87|L88"
"163",163,0.119990736246109,0,"C2orf92","calcium","chr2",95296118,98791875,"L67|L68|L69|L70|L71|L72|L73|L74|L75|L76|L77"
"164",164,0.408698201179504,0,"C6orf106","calcium","chr6",34230322,34730323,"L182"
"165",165,0.746918916702271,0,"C6orf203","calcium","chr6",107189652,107689653,"L189"
"166",166,0.506740510463715,0,"C8orf86","calcium","chr8",37797331,38548648,"L226|L227"
"167",167,0.66967761516571,0,"C9orf40","calcium","chr9",77222066,77722067,"L238"
"168",168,0.51101166009903,0,"C9orf43","calcium","chr9",116113146,116613147,"L246"
"169",169,0.0936324894428253,0,"CA14","calcium","chr1",149746474,151190626,"L27|L28|L29|L30"
"170",170,0.367798507213593,0,"CABP7","calcium","chr22",30121350,31018778,"L430|L431"
"171",171,0.225422024726868,0,"CACTIN","calcium","chr19",2733175,3626043,"L400|L401|L402"
"172",172,0.139301061630249,0,"CAD","calcium","chr2",26896032,28693051,"L50|L51|L52|L53|L54|L55"
"173",173,0.60778534412384,0,"CALM1","calcium","chr14",90599408,91099409,"L339"
"174",174,0.637696623802185,0,"CAMLG","calcium","chr5",133648136,134148137,"L162"
"175",175,0.151751905679703,0,"CAPN12","calcium","chr19",37905978,39540958,"L412|L413|L414|L415|L416"
"176",176,0.588425159454346,0,"CARNMT1","calcium","chr9",77222066,77722067,"L238"
"177",177,0.399733066558838,0,"CASC1","calcium","chr12",25158464,25658465,"L304"
"178",178,0.613954901695251,0,"CASC10","calcium","chr10",21588380,22894987,"L255|L256|L257|L258"
"179",179,0.342286705970764,0,"CASC4","calcium","chr15",44047617,45130784,"L349|L350|L351"
"180",180,0.702342331409454,0,"CASKIN2","calcium","chr17",73253489,73753490,"L396"
"181",181,0.346981376409531,0,"CASP2","calcium","chr7",142842269,143342270,"L214"
"182",182,0.347502917051315,0,"CASTOR1","calcium","chr22",30121350,31018778,"L430|L431"
"183",183,0.537158250808716,0,"CATSPERB","calcium","chr14",92080413,92580414,"L340"
"184",184,0.465496897697449,0,"CATSPERG","calcium","chr19",37905978,39540958,"L412|L413|L414|L415|L416"
"185",185,0.357456833124161,0,"CBL","calcium","chr11",118556220,119416048,"L291|L292|L293"
"186",186,0.606544137001038,0,"CBLL1","calcium","chr7",106585410,107421491,"L212|L213"
"187",187,0.516870319843292,0,"CBLN3","calcium","chr14",24621530,25121531,"L335"
"188",188,0.198994353413582,0,"CBWD2","calcium","chr2",113759329,114726473,"L79|L80"
"189",189,0.538079142570496,0,"CBX5","calcium","chr12",54473028,54973029,"L308"
"190",190,0.441595643758774,0,"CBX6","calcium","chr22",38880843,39380844,"L432"
"191",191,0.588469088077545,0,"CBY1","calcium","chr22",38880843,39380844,"L432"
"192",192,0.335383117198944,0,"CC2D1A","calcium","chr19",13922896,14422897,"L405"
"193",193,0.238443329930305,0,"CC2D1B","calcium","chr1",49036183,53037888,"L11|L12|L13|L14|L15|L16|L17|L18|L19|L20"
"194",194,0.784140944480896,0,"CCBE1","calcium","chr18",56929999,57430000,"L397"
"195",195,0.238745406270027,0,"CCDC153","calcium","chr11",118556220,119416048,"L291|L292|L293"
"196",196,0.325103402137756,0,"CCDC155","calcium","chr19",49745340,50614485,"L417|L418|L419"
"197",197,0.476251274347305,0,"CCDC157","calcium","chr22",30121350,31018778,"L430|L431"
"198",198,0.652516484260559,0,"CCDC192","calcium","chr5",127128876,127628877,"L157"
"199",199,0.598641157150269,0,"CCDC28A","calcium","chr6",139081253,139581254,"L196"
"200",200,0.485066652297974,0,"CCDC54","calcium","chr3",106936568,107787099,"L104|L105"
"201",201,0.226696044206619,0,"CCDC84","calcium","chr11",118556220,119416048,"L291|L292|L293"
"202",202,0.170810028910637,0,"CCER2","calcium","chr19",37905978,39540958,"L412|L413|L414|L415|L416"
"203",203,0.735641241073608,0,"CCNL1","calcium","chr3",156269027,157045409,"L125|L126"
"204",204,0.847350597381592,0,"CD109","calcium","chr6",74213894,75366176,"L185|L186|L187"
"205",205,0.144513174891472,0,"CD22","calcium","chr19",35302963,36269523,"L409|L410"
"206",206,0.187283456325531,0,"CD37","calcium","chr19",49745340,50614485,"L417|L418|L419"
"207",207,0.831724584102631,0,"CD44","calcium","chr11",34918546,35418547,"L276"
"208",208,0.455702841281891,0,"CD47","calcium","chr3",106936568,107787099,"L104|L105"
"209",209,0.211074069142342,0,"CDC42SE1","calcium","chr1",149746474,151190626,"L27|L28|L29|L30"
"210",210,0.720831692218781,0,"CDC42SE2","calcium","chr5",129809750,130753287,"L158|L159"
"211",211,0.702620685100555,0,"CDK12","calcium","chr17",37371053,38127448,"L385|L386"
"212",212,0.236822098493576,0,"CDK2AP1","calcium","chr12",122565885,124397831,"L320|L321|L322|L323|L324|L325|L326|L327"
"213",213,0.744917154312134,0,"CDK6","calcium","chr7",92008733,92508734,"L211"
"214",214,0.63242894411087,0,"CDKL1","calcium","chr14",50732983,51232984,"L336"
"215",215,0.557442307472229,0,"CDKL3","calcium","chr5",133648136,134148137,"L162"
"216",216,0.498762935400009,0,"CDKN1B","calcium","chr12",12639289,13139290,"L303"
"217",217,0.520056426525116,0,"CDKN2AIPNL","calcium","chr5",133648136,134148137,"L162"
"218",218,0.604043662548065,0,"CDKN2C","calcium","chr1",49036183,53037888,"L11|L12|L13|L14|L15|L16|L17|L18|L19|L20"
"219",219,0.411309152841568,0,"CEACAM18","calcium","chr19",51903000,52403001,"L420"
"220",220,0.398485481739044,0,"CEBPA","calcium","chr19",33637537,34137538,"L408"
"221",221,0.424033880233765,0,"CEBPG","calcium","chr19",33637537,34137538,"L408"
"222",222,0.489803284406662,0,"CEBPZ","calcium","chr2",37017901,37786489,"L56|L57"
"223",223,0.60837334394455,0,"CEBPZOS","calcium","chr2",37017901,37786489,"L56|L57"
"224",224,0.2491135597229,0,"CELF5","calcium","chr19",2733175,3626043,"L400|L401|L402"
"225",225,0.571151375770569,0,"CELSR2","calcium","chr1",109564880,110064881,"L24"
"226",226,0.188892871141434,0,"CENPA","calcium","chr2",26896032,28693051,"L50|L51|L52|L53|L54|L55"
"227",227,0.670038759708405,0,"CEP126","calcium","chr11",101773505,102273506,"L288"
"228",228,0.524134695529938,0,"CEP78","calcium","chr9",79983206,81056934,"L239|L240|L241"
"229",229,0.562608778476715,0,"CEP97","calcium","chr3",100761537,101556099,"L102|L103"
"230",230,0.641137778759003,0,"CERS2","calcium","chr1",149746474,151190626,"L27|L28|L29|L30"
"231",231,0.672959864139557,0,"CFAP221","calcium","chr2",120260888,121291315,"L81|L82|L83"
"232",232,0.654719829559326,0,"CFAP300","calcium","chr11",101773505,102273506,"L288"
"233",233,0.582807004451752,0,"CFAP44","calcium","chr3",112697781,113550184,"L106|L107"
"234",234,0.4500612616539,0,"CFAP57","calcium","chr1",43186051,43686052,"L10"
"235",235,0.51643294095993,0,"CFH","calcium","chr1",196650709,197150710,"L36"
"236",236,0.537600040435791,0,"CFHR1","calcium","chr1",196650709,197150710,"L36"
"237",237,0.738789260387421,0,"CFHR2","calcium","chr1",196650709,197150710,"L36"
"238",238,0.533582329750061,0,"CFHR3","calcium","chr1",196650709,197150710,"L36"
"239",239,0.59508341550827,0,"CFHR4","calcium","chr1",196650709,197150710,"L36"
"240",240,0.512722671031952,0,"CFHR5","calcium","chr1",196650709,197150710,"L36"
"241",241,0.107624754309654,0,"CGREF1","calcium","chr2",26896032,28693051,"L50|L51|L52|L53|L54|L55"
"242",242,0.77949321269989,0,"CHAF1B","calcium","chr21",37585982,38085983,"L428"
"243",243,0.635450422763824,0,"CHD8","calcium","chr14",21625487,22125488,"L334"
"244",244,0.865345358848572,0,"CHGA","calcium","chr14",93155676,93655677,"L341"
"245",245,0.27816504240036,0,"CHMP4A","calcium","chr14",24621530,25121531,"L335"
"246",246,0.630746245384216,0,"CHRNA9","calcium","chr4",40315469,40815470,"L137"
"247",247,0.102813482284546,0,"CIAO1","calcium","chr2",95296118,98791875,"L67|L68|L69|L70|L71|L72|L73|L74|L75|L76|L77"
"248",248,0.103644452989101,0,"CIART","calcium","chr1",149746474,151190626,"L27|L28|L29|L30"
"249",249,0.620774030685425,0,"CIB2","calcium","chr15",78108837,78608838,"L362"
"250",250,0.321918278932571,0,"CIDEB","calcium","chr14",24621530,25121531,"L335"
"251",251,0.327344328165054,0,"CLCN1","calcium","chr7",142842269,143342270,"L214"
"252",252,0.463178634643555,0,"CLCNKA","calcium","chr1",16260894,16760895,"L2"
"253",253,0.43064746260643,0,"CLCNKB","calcium","chr1",16260894,16760895,"L2"
"254",254,0.798489034175873,0,"CLDN14","calcium","chr21",37585982,38085983,"L428"
"255",255,0.438915520906448,0,"CLDN19","calcium","chr1",43186051,43686052,"L10"
"256",256,0.38539707660675,0,"CLIC6","calcium","chr21",35640958,36140959,"L427"
"257",257,0.699517726898193,0,"CLIP1","calcium","chr12",122565885,124397831,"L320|L321|L322|L323|L324|L325|L326|L327"
"258",258,0.464782178401947,0,"CMA1","calcium","chr14",24621530,25121531,"L335"
"259",259,0.854722738265991,0,"CMIP","calcium","chr16",81336901,81836902,"L370"
"260",260,0.307519972324371,0,"CNN1","calcium","chr19",11191374,11691375,"L403"
"261",261,0.827879309654236,0,"CNNM2","calcium","chr10",104501781,105001782,"L269"
"262",262,0.277563452720642,0,"CNNM3","calcium","chr2",95296118,98791875,"L67|L68|L69|L70|L71|L72|L73|L74|L75|L76|L77"
"263",263,0.479797184467316,0,"CNNM4","calcium","chr2",95296118,98791875,"L67|L68|L69|L70|L71|L72|L73|L74|L75|L76|L77"
"264",264,0.80610579252243,0,"COBLL1","calcium","chr2",165278876,165778877,"L85"
"265",265,0.557239055633545,0,"COG5","calcium","chr7",106585410,107421491,"L212|L213"
"266",266,0.576654553413391,0,"COL4A1","calcium","chr13",110254964,111209689,"L332|L333"
"267",267,0.682727515697479,0,"COL4A2","calcium","chr13",110254964,111209689,"L332|L333"
"268",268,0.647242963314056,0,"COMMD3","calcium","chr10",21588380,22894987,"L255|L256|L257|L258"
"269",269,0.652719259262085,0,"COMMD3-BMI1","calcium","chr10",21588380,22894987,"L255|L256|L257|L258"
"270",270,0.809191465377808,0,"COPZ1","calcium","chr12",54473028,54973029,"L308"
"271",271,0.398780822753906,0,"COQ8A","calcium","chr1",226307878,227166079,"L44|L45"
"272",272,0.123924292623997,0,"COX5B","calcium","chr2",95296118,98791875,"L67|L68|L69|L70|L71|L72|L73|L74|L75|L76|L77"
"273",273,0.279345601797104,0,"COX6B1","calcium","chr19",35302963,36269523,"L409|L410"
"274",274,0.320169299840927,0,"CPLANE2","calcium","chr1",16260894,16760895,"L2"
"275",275,0.552590131759644,0,"CPLX4","calcium","chr18",56929999,57430000,"L397"
"276",276,0.899666488170624,0,"CPS1","calcium","chr2",211293055,211793056,"L89"
"277",277,0.250624567270279,0,"CPT1C","calcium","chr19",49745340,50614485,"L417|L418|L419"
"278",278,0.144591927528381,0,"CRACR2A","calcium","chr12",3738288,4838580,"L299|L300|L301"
"279",279,0.268695026636124,0,"CREBL2","calcium","chr12",12639289,13139290,"L303"
"280",280,0.643186986446381,0,"CRHBP","calcium","chr5",75856442,76356443,"L154"
"281",281,0.14664925634861,0,"CRIP1","calcium","chr14",105739599,106239600,"L343"
"282",282,0.243400439620018,0,"CRIP2","calcium","chr14",105739599,106239600,"L343"
"283",283,0.139237105846405,0,"CRK","calcium","chr17",1271892,2479068,"L375|L376|L377|L378"
"284",284,0.620665550231934,0,"CRTAM","calcium","chr11",122251811,122751812,"L294"
"285",285,0.168209686875343,0,"CRYGS","calcium","chr3",186088382,186872851,"L128|L129"
"286",286,0.294574677944183,0,"CSNK1G2","calcium","chr19",1910529,2410530,"L399"
"287",287,0.315593153238297,0,"CTAGE15","calcium","chr7",142842269,143342270,"L214"
"288",288,0.665509700775146,0,"CTBP2","calcium","chr10",126282194,126782195,"L272"
"289",289,0.321419507265091,0,"CTDSPL2","calcium","chr15",44047617,45130784,"L349|L350|L351"
