"gene","ensmble_gene_gps","trait_exwas_ei","trait_gps","gene_trait_pair_exwas_ei","gene_trait_pair_gps","gene_tait_pair_merged","source"
"PPARG","ENSG00000132170","BMI",NA,"ENSG00000132170_BMI",NA,"ENSG00000132170_BMI","ExWAS, EI"
"BBS2","ENSG00000125124","BMI",NA,"ENSG00000125124_BMI",NA,"ENSG00000125124_BMI","ExWAS, EI"
"BBS4","ENSG00000140463","BMI",NA,"ENSG00000140463_BMI",NA,"ENSG00000140463_BMI","ExWAS, EI"
"BBS5","ENSG00000163093","BMI",NA,"ENSG00000163093_BMI",NA,"ENSG00000163093_BMI","ExWAS, EI"
"DYRK1B","ENSG00000105204","BMI",NA,"ENSG00000105204_BMI",NA,"ENSG00000105204_BMI","ExWAS, EI"
"CELA2A","ENSG00000142615","BMI",NA,"ENSG00000142615_BMI",NA,"ENSG00000142615_BMI","ExWAS, EI"
"MTTP","ENSG00000138823","BMI",NA,"ENSG00000138823_BMI",NA,"ENSG00000138823_BMI","ExWAS, EI"
"SDC3","ENSG00000162512","WHR",NA,"ENSG00000162512_WHR",NA,"ENSG00000162512_WHR","ExWAS, EI"
"SIM1","ENSG00000112246","WHR",NA,"ENSG00000112246_WHR",NA,"ENSG00000112246_WHR","ExWAS, EI"
"UCP3","ENSG00000175564","WHR",NA,"ENSG00000175564_WHR",NA,"ENSG00000175564_WHR","ExWAS, EI"
"ARL6","ENSG00000113966","WHR",NA,"ENSG00000113966_WHR",NA,"ENSG00000113966_WHR","ExWAS, EI"
"PHIP","ENSG00000146247","WHR",NA,"ENSG00000146247_WHR",NA,"ENSG00000146247_WHR","ExWAS, EI"
"GHRL","ENSG00000157017","WHR",NA,"ENSG00000157017_WHR",NA,"ENSG00000157017_WHR","ExWAS, EI"
"BBS7","ENSG00000138686","WHR",NA,"ENSG00000138686_WHR",NA,"ENSG00000138686_WHR","ExWAS, EI"
"TTC8","ENSG00000165533","WHR",NA,"ENSG00000165533_WHR",NA,"ENSG00000165533_WHR","ExWAS, EI"
"VPS13B","ENSG00000132549","WHR",NA,"ENSG00000132549_WHR",NA,"ENSG00000132549_WHR","ExWAS, EI"
"CARTPT","ENSG00000164326","WHR",NA,"ENSG00000164326_WHR",NA,"ENSG00000164326_WHR","ExWAS, EI"
"HEATR3","ENSG00000155393","WHR",NA,"ENSG00000155393_WHR",NA,"ENSG00000155393_WHR","ExWAS, EI"
"BBS10","ENSG00000179941","WHR",NA,"ENSG00000179941_WHR",NA,"ENSG00000179941_WHR","ExWAS, EI"
"BBS12","ENSG00000181004","WHR",NA,"ENSG00000181004_WHR",NA,"ENSG00000181004_WHR","ExWAS, EI"
"ADRB2","ENSG00000169252","WHR",NA,"ENSG00000169252_WHR",NA,"ENSG00000169252_WHR","ExWAS, EI"
"ADRB3","ENSG00000188778","WHR",NA,"ENSG00000188778_WHR",NA,"ENSG00000188778_WHR","ExWAS, EI"
"BBS9","ENSG00000122507","WHR",NA,"ENSG00000122507_WHR",NA,"ENSG00000122507_WHR","ExWAS, EI"
"SH2B1","ENSG00000178188","WHR",NA,"ENSG00000178188_WHR",NA,"ENSG00000178188_WHR","ExWAS, EI"
"AGRP","ENSG00000159723","WHR",NA,"ENSG00000159723_WHR",NA,"ENSG00000159723_WHR","ExWAS, EI"
"ENPP1","ENSG00000197594","WHR",NA,"ENSG00000197594_WHR",NA,"ENSG00000197594_WHR","ExWAS, EI"
"MKKS","ENSG00000125863","WHR",NA,"ENSG00000125863_WHR",NA,"ENSG00000125863_WHR","ExWAS, EI"
"MKS1","ENSG00000011143","WHR",NA,"ENSG00000011143_WHR",NA,"ENSG00000011143_WHR","ExWAS, EI"
"MYT1L","ENSG00000186487","WHR",NA,"ENSG00000186487_WHR",NA,"ENSG00000186487_WHR","ExWAS, EI"
"NR0B2","ENSG00000131910","WHR",NA,"ENSG00000131910_WHR",NA,"ENSG00000131910_WHR","ExWAS, EI"
"POMC","ENSG00000115138","WHR",NA,"ENSG00000115138_WHR",NA,"ENSG00000115138_WHR","ExWAS, EI"
"PPARG","ENSG00000132170","WHR",NA,"ENSG00000132170_WHR",NA,"ENSG00000132170_WHR","ExWAS, EI"
"BBS2","ENSG00000125124","WHR",NA,"ENSG00000125124_WHR",NA,"ENSG00000125124_WHR","ExWAS, EI"
"BBS4","ENSG00000140463","WHR",NA,"ENSG00000140463_WHR",NA,"ENSG00000140463_WHR","ExWAS, EI"
"BBS5","ENSG00000163093","WHR",NA,"ENSG00000163093_WHR",NA,"ENSG00000163093_WHR","ExWAS, EI"
"DYRK1B","ENSG00000105204","WHR",NA,"ENSG00000105204_WHR",NA,"ENSG00000105204_WHR","ExWAS, EI"
"CELA2A","ENSG00000142615","WHR",NA,"ENSG00000142615_WHR",NA,"ENSG00000142615_WHR","ExWAS, EI"
"MTTP","ENSG00000138823","WHR",NA,"ENSG00000138823_WHR",NA,"ENSG00000138823_WHR","ExWAS, EI"
"TPH2","ENSG00000139287","Mood disorders",NA,"ENSG00000139287_Mood disorders",NA,"ENSG00000139287_Mood disorders","ExWAS, EI"
"FKBP5","ENSG00000096060","Mood disorders",NA,"ENSG00000096060_Mood disorders",NA,"ENSG00000096060_Mood disorders","ExWAS, EI"
"HTR2A","ENSG00000102468","Mood disorders",NA,"ENSG00000102468_Mood disorders",NA,"ENSG00000102468_Mood disorders","ExWAS, EI"
"SCN1B","ENSG00000105711","Cardiac dysrhythmias",NA,"ENSG00000105711_Cardiac dysrhythmias",NA,"ENSG00000105711_Cardiac dysrhythmias","ExWAS, EI"
"SCN2B","ENSG00000149575","Cardiac dysrhythmias",NA,"ENSG00000149575_Cardiac dysrhythmias",NA,"ENSG00000149575_Cardiac dysrhythmias","ExWAS, EI"
"SCN4B","ENSG00000177098","Cardiac dysrhythmias",NA,"ENSG00000177098_Cardiac dysrhythmias",NA,"ENSG00000177098_Cardiac dysrhythmias","ExWAS, EI"
"SCN5A","ENSG00000183873","Cardiac dysrhythmias",NA,"ENSG00000183873_Cardiac dysrhythmias",NA,"ENSG00000183873_Cardiac dysrhythmias","ExWAS, EI"
"TTN","ENSG00000155657","Cardiac dysrhythmias",NA,"ENSG00000155657_Cardiac dysrhythmias",NA,"ENSG00000155657_Cardiac dysrhythmias","ExWAS, EI"
"GATA5","ENSG00000130700","Cardiac dysrhythmias",NA,"ENSG00000130700_Cardiac dysrhythmias",NA,"ENSG00000130700_Cardiac dysrhythmias","ExWAS, EI"
"SCN3B","ENSG00000166257","Cardiac dysrhythmias",NA,"ENSG00000166257_Cardiac dysrhythmias",NA,"ENSG00000166257_Cardiac dysrhythmias","ExWAS, EI"
"NKX2-5","ENSG00000183072","Cardiac dysrhythmias",NA,"ENSG00000183072_Cardiac dysrhythmias",NA,"ENSG00000183072_Cardiac dysrhythmias","ExWAS, EI"
"NKX2-6","ENSG00000180053","Cardiac dysrhythmias",NA,"ENSG00000180053_Cardiac dysrhythmias",NA,"ENSG00000180053_Cardiac dysrhythmias","ExWAS, EI"
"GATA4","ENSG00000136574","Cardiac dysrhythmias",NA,"ENSG00000136574_Cardiac dysrhythmias",NA,"ENSG00000136574_Cardiac dysrhythmias","ExWAS, EI"
"GATA6","ENSG00000141448","Cardiac dysrhythmias",NA,"ENSG00000141448_Cardiac dysrhythmias",NA,"ENSG00000141448_Cardiac dysrhythmias","ExWAS, EI"
"GJA5","ENSG00000265107","Cardiac dysrhythmias",NA,"ENSG00000265107_Cardiac dysrhythmias",NA,"ENSG00000265107_Cardiac dysrhythmias","ExWAS, EI"
"ABCC9","ENSG00000069431","Cardiac dysrhythmias",NA,"ENSG00000069431_Cardiac dysrhythmias",NA,"ENSG00000069431_Cardiac dysrhythmias","ExWAS, EI"
"KCNA5","ENSG00000130037","Cardiac dysrhythmias",NA,"ENSG00000130037_Cardiac dysrhythmias",NA,"ENSG00000130037_Cardiac dysrhythmias","ExWAS, EI"
"KCNE1","ENSG00000180509","Cardiac dysrhythmias",NA,"ENSG00000180509_Cardiac dysrhythmias",NA,"ENSG00000180509_Cardiac dysrhythmias","ExWAS, EI"
"KCNE2","ENSG00000159197","Cardiac dysrhythmias",NA,"ENSG00000159197_Cardiac dysrhythmias",NA,"ENSG00000159197_Cardiac dysrhythmias","ExWAS, EI"
"KCNJ2","ENSG00000123700","Cardiac dysrhythmias",NA,"ENSG00000123700_Cardiac dysrhythmias",NA,"ENSG00000123700_Cardiac dysrhythmias","ExWAS, EI"
"KCNQ1","ENSG00000053918","Cardiac dysrhythmias",NA,"ENSG00000053918_Cardiac dysrhythmias",NA,"ENSG00000053918_Cardiac dysrhythmias","ExWAS, EI"
"MYL4","ENSG00000198336","Cardiac dysrhythmias",NA,"ENSG00000198336_Cardiac dysrhythmias",NA,"ENSG00000198336_Cardiac dysrhythmias","ExWAS, EI"
"NPPA","ENSG00000175206","Cardiac dysrhythmias",NA,"ENSG00000175206_Cardiac dysrhythmias",NA,"ENSG00000175206_Cardiac dysrhythmias","ExWAS, EI"
"NUP155","ENSG00000113569","Cardiac dysrhythmias",NA,"ENSG00000113569_Cardiac dysrhythmias",NA,"ENSG00000113569_Cardiac dysrhythmias","ExWAS, EI"
"PITX2","ENSG00000164093","Cardiac dysrhythmias",NA,"ENSG00000164093_Cardiac dysrhythmias",NA,"ENSG00000164093_Cardiac dysrhythmias","ExWAS, EI"
"RNASEL","ENSG00000135828","Cancer of prostate",NA,"ENSG00000135828_Cancer of prostate",NA,"ENSG00000135828_Cancer of prostate","ExWAS, EI"
"BRCA1","ENSG00000012048","Cancer of prostate",NA,"ENSG00000012048_Cancer of prostate",NA,"ENSG00000012048_Cancer of prostate","ExWAS, EI"
"BRCA2","ENSG00000139618","Cancer of prostate",NA,"ENSG00000139618_Cancer of prostate",NA,"ENSG00000139618_Cancer of prostate","ExWAS, EI"
"SRD5A2","ENSG00000277893","Cancer of prostate",NA,"ENSG00000277893_Cancer of prostate",NA,"ENSG00000277893_Cancer of prostate","ExWAS, EI"
"HNF1B","ENSG00000275410","Cancer of prostate",NA,"ENSG00000275410_Cancer of prostate",NA,"ENSG00000275410_Cancer of prostate","ExWAS, EI"
"ELAC2","ENSG00000006744","Cancer of prostate",NA,"ENSG00000006744_Cancer of prostate",NA,"ENSG00000006744_Cancer of prostate","ExWAS, EI"
"CHEK2","ENSG00000183765","Cancer of prostate",NA,"ENSG00000183765_Cancer of prostate",NA,"ENSG00000183765_Cancer of prostate","ExWAS, EI"
"CDH1","ENSG00000039068","Cancer of prostate",NA,"ENSG00000039068_Cancer of prostate",NA,"ENSG00000039068_Cancer of prostate","ExWAS, EI"
"KLF6","ENSG00000067082","Cancer of prostate",NA,"ENSG00000067082_Cancer of prostate",NA,"ENSG00000067082_Cancer of prostate","ExWAS, EI"
"EHBP1","ENSG00000115504","Cancer of prostate",NA,"ENSG00000115504_Cancer of prostate",NA,"ENSG00000115504_Cancer of prostate","ExWAS, EI"
"EPHB2","ENSG00000133216","Cancer of prostate",NA,"ENSG00000133216_Cancer of prostate",NA,"ENSG00000133216_Cancer of prostate","ExWAS, EI"
"HOXB13","ENSG00000159184","Cancer of prostate",NA,"ENSG00000159184_Cancer of prostate",NA,"ENSG00000159184_Cancer of prostate","ExWAS, EI"
